transcript_id	gene_id	length	GSM2472501_eff_length	GSM2472501_est_counts	GSM2472501_tpm	GSM2472502_eff_length	GSM2472502_est_counts	GSM2472502_tpm	GSM2472503_eff_length	GSM2472503_est_counts	GSM2472503_tpm	GSM2472504_eff_length	GSM2472504_est_counts	GSM2472504_tpm	GSM2472505_eff_length	GSM2472505_est_counts	GSM2472505_tpm	GSM2472506_eff_length	GSM2472506_est_counts	GSM2472506_tpm	active_mean_tpm	active_sample_sd_tpm	tun_mean_tpm	tun_sample_sd_tpm	tun_over_active_mean_ratio	log2_ratio_with_0_1_tpm_pseudocount
bHd16413.1	bHd16413	1272	963.356	37.2308	1.06428	951.535	26.5224	0.698651	961.375	24.9741	0.670168	963.195	202.909	5.08798	973.917	367.975	9.53512	984.699	197.7	6.04865	0.811033	0.219780237007	6.89058333333	2.34006460343	8.49605790804	2.93983762888
bHd16413.2	bHd16413	1287	976.077	17.7692	0.501333	963.75	11.4776	0.29851	974.294	35.0259	0.927438	975.703	114.091	2.82417	986.652	81.0248	2.07245	996.842	148.3	4.48198	0.575760333333	0.321001835285	3.1262	1.23283222537	5.42968978412	2.25525230455
