sample_id	title	condition	replicate	individuals	age	strain	organism_as_deposited	platform	instrument	biosample	sra_experiment	series	genome_build_as_deposited	quantifier_as_deposited	metadata_path	table_path	table_url	table_bytes	table_sha256
GSM2472501	H_active_10k_rep1	active	1	10000	adult	Z151	Hypsibius dujardini	GPL19649	Illumina HiSeq 2000	SAMN06282528	SRX2528369	GSE94295	nHd.3.0	Kallisto v0.42.4	analysis/expression/GSM2472501.soft.txt	analysis/expression/GSM2472501_H-active_10k-1.Kallisto.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472501/suppl/GSM2472501_H-active_10k-1.Kallisto.txt.gz	292979	f6f6a6689b31d624aeababf5abf97707d98bed9ef11e29bf493a3361077d8060
GSM2472502	H_active_10k_rep2	active	2	10000	adult	Z151	Hypsibius dujardini	GPL19649	Illumina HiSeq 2000	SAMN06282527	SRX2528370	GSE94295	nHd.3.0	Kallisto v0.42.4	analysis/expression/GSM2472502.soft.txt	analysis/expression/GSM2472502_H-active_10k-2.Kallisto.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472502/suppl/GSM2472502_H-active_10k-2.Kallisto.txt.gz	292608	db141b946b53724332aa27ef08b669c8cc0f8c06da96ecbd1177e8074515afa7
GSM2472503	H_active_10k_rep3	active	3	10000	adult	Z151	Hypsibius dujardini	GPL19649	Illumina HiSeq 2000	SAMN06282526	SRX2528371	GSE94295	nHd.3.0	Kallisto v0.42.4	analysis/expression/GSM2472503.soft.txt	analysis/expression/GSM2472503_H-active_10k-3.Kallisto.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472503/suppl/GSM2472503_H-active_10k-3.Kallisto.txt.gz	288736	60a5ab8d860b0b9b95c854c8828e6e82d449c5cf50b00cf63eda22aa51d19d5f
GSM2472504	H_tun_10k_rep1	tun	1	10000	adult	Z151	Hypsibius dujardini	GPL19649	Illumina HiSeq 2000	SAMN06282596	SRX2528372	GSE94295	nHd.3.0	Kallisto v0.42.4	analysis/expression/GSM2472504.soft.txt	analysis/expression/GSM2472504_H-tun_10k-1.Kallisto.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472504/suppl/GSM2472504_H-tun_10k-1.Kallisto.txt.gz	292542	14d056d48bd6f8d26c7ae7a7e50a290db98b82f23faaa9c1817d78246e1f3e2e
GSM2472505	H_tun_10k_rep2	tun	2	10000	adult	Z151	Hypsibius dujardini	GPL19649	Illumina HiSeq 2000	SAMN06282595	SRX2528373	GSE94295	nHd.3.0	Kallisto v0.42.4	analysis/expression/GSM2472505.soft.txt	analysis/expression/GSM2472505_H-tun_10k-2.Kallisto.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472505/suppl/GSM2472505_H-tun_10k-2.Kallisto.txt.gz	293084	3223c24663bbce714c38638bcdb84db21b88f553eeef59b1a4f8c2a771833d82
GSM2472506	H_tun_10k_rep3	tun	3	10000	adult	Z151	Hypsibius dujardini	GPL19649	Illumina HiSeq 2000	SAMN06282594	SRX2528374	GSE94295	nHd.3.0	Kallisto v0.42.4	analysis/expression/GSM2472506.soft.txt	analysis/expression/GSM2472506_H-tun_10k-3.Kallisto.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472506/suppl/GSM2472506_H-tun_10k-3.Kallisto.txt.gz	293498	10786faed4c81f9532af9bfe1d7c260873c0298518ea5cdf08f085afc82649c1
